code_commune;nom_commune;code_departement;annee;nb_transactions;prix_moyen;prix_median;prix_min;prix_max;prix_m2_moyen;prix_m2_median;surface_bati_moyenne;surface_bati_mediane;surface_terrain_moyenne;surface_terrain_mediane;nb_pieces_moyen;nb_pieces_median;nb_appartement;nb_dépendance;nb_local_industriel._commercial_ou_assimilé;nb_maison;nb_adjudication;nb_echange;nb_expropriation;nb_vente;nb_vente_en_l'état_futur_d'achèvement;nb_vente_terrain_à_bâtir;ville
33063;Bordeaux;33;2020;12922;771635.57;285000.0;1.0;31180708.0;8034.669999999999;4930.56;81.5;62.0;308.7;175.0;1.75;1.0;4724.0;3327.0;511.0;1390.0;20;18;67;10332;2485;0;Bordeaux
33063;Bordeaux;33;2021;15796;1245652.34;301968.0;1.0;81827416.0;7275.859999999999;5063.49;90.52;62.0;472.7;193.0;1.61;1.0;5542.0;5013.0;630.0;1627.0;18;32;0;13254;2491;1;Bordeaux
33063;Bordeaux;33;2022;16177;734206.19;309500.0;1.0;59760000.0;7337.7;5106.76;90.56;61.0;664.31;189.0;1.45;1.0;5407.0;5796.0;718.0;1474.0;29;40;2;13688;2414;4;Bordeaux
33063;Bordeaux;33;2023;12019;785916.27;286700.0;1.0;49000000.0;7603.53;5027.64;80.57;60.0;390.88;185.0;1.39;0.0;4181.0;4685.0;639.0;1120.0;18;31;0;10906;1063;1;Bordeaux
33063;Bordeaux;33;2024;11585;1491548.89;295500.0;1.0;68601216.0;6347.87;4562.5;97.68;60.0;1674.97;220.0;1.39;0.0;3721.0;4339.0;490.0;967.0;24;22;6;9624;1908;1;Bordeaux
38185;Grenoble;38;2020;7021;228971.98;142000.0;1.0;9128400.0;3470.71;2526.32;83.77;60.0;1089.97;383.5;1.47;1.0;3592.0;2619.0;464.0;103.0;14;110;0;6522;375;0;Grenoble
38185;Grenoble;38;2021;10259;358470.32;150000.0;1.0;36500000.0;3997.75;2760.44;66.17;57.0;493.1;290.0;1.13;0.0;4259.0;5115.0;498.0;95.0;53;30;0;9202;974;0;Grenoble
38185;Grenoble;38;2022;10830;331369.25;150000.0;1.0;19180308.0;4118.99;2800.0;72.81;58.0;545.9;306.0;1.11;0.0;4281.0;5590.0;550.0;93.0;17;23;0;10070;719;1;Grenoble
38185;Grenoble;38;2023;8096;446285.48;149475.0;1.0;17000000.0;3776.09;2760.0;77.26;59.0;1066.62;513.0;1.09;0.0;3052.0;4276.0;434.0;86.0;28;11;0;7765;292;0;Grenoble
38185;Grenoble;38;2024;7020;304511.69;143000.0;1.0;13600884.0;3477.48;2591.11;73.17;59.0;1932.51;435.0;1.01;0.0;2514.0;3804.0;335.0;76.0;14;34;0;6704;268;0;Grenoble
59350;Lille;59;2020;11452;1228646.41;220000.0;1.0;97000000.0;6427.82;3780.49;85.86;51.0;5320.61;140.0;1.68;1.0;5291.0;2781.0;1016.0;1245.0;7;737;0;9640;1066;2;Lille
59350;Lille;59;2021;12740;434550.75;220100.0;1.0;18810000.0;6741.6;3895.42;74.09;50.0;316.62;120.0;1.44;1.0;5133.0;4245.0;844.0;1252.0;14;33;0;11608;1084;1;Lille
59350;Lille;59;2022;12962;1728530.76;237000.0;1.0;91560000.0;6846.76;4091.84;70.92;50.0;302.54;122.5;1.33;1.0;4855.0;4839.0;972.0;1184.0;40;26;0;11821;1067;8;Lille
59350;Lille;59;2023;9280;1027677.64;205000.0;1.0;95000000.0;5963.63;3930.04;81.6;49.0;247.2;116.0;1.32;1.0;3529.0;3583.0;618.0;969.0;8;38;1;8858;375;0;Lille
59350;Lille;59;2024;8203;496994.89;203000.0;1.0;91200000.0;6634.77;3838.24;72.2;50.0;274.66;110.0;1.37;1.0;2997.0;3002.0;558.0;893.0;19;90;0;7901;193;0;Lille
27377;Lyon;27;20200;19876;13710360.639999999;3293419.4;759.0;335769276.0;6817.955058864963;49301.28999999999;903.4499999999999;636.0;9153.3;5202.0;17.54;11.0;9389.0;7093.0;1811.0;282.0;32;69;0;17074;2655;46;Lyon
27377;Lyon;27;20210;26803;8057570.27;3347225.0;55509.0;266033355.0;6746.840447337985;50232.9;789.61;637.5;6471.26;4285.0;13.870000000000001;4.5;10258.0;12549.0;2064.0;320.0;38;117;0;24354;2285;9;Lyon
27377;Lyon;27;20220;27153;9472053.12;3328690.0;2008.5;219829431.0;7107.86292417044;50544.09;758.98;610.5;6005.62;3791.0;12.48;4.0;9972.0;13431.0;2152.0;287.0;29;166;0;25020;1932;6;Lyon
27377;Lyon;27;20230;21740;6394601.61;3061865.0;59.0;112162715.0;7369.058441122356;48529.01;699.1;598.5;6781.96;5239.0;11.719999999999999;1.0;8178.0;10803.0;1466.0;223.0;25;163;0;20169;1371;12;Lyon
27377;Lyon;27;20240;19885;9746727.959999999;2823762.5;11008.0;275057666.0;6595.680311289918;44927.56;845.8299999999999;609.5;8689.01;5209.0;12.339999999999998;3.0;7231.0;9885.0;1351.0;195.0;25;128;0;18511;1221;0;Lyon
11220;Marseille;11;38380;33366;14889376.66;3365250.0;48996.5;328505312.5;4907.720244860038;50637.28999999999;1612.7400000000002;1195.0;28347.579999999998;6713.0;39.72;39.0;14662.0;8117.0;1573.0;1967.0;167;68;14;26775;6327;15;Marseille
11220;Marseille;11;38399;47683;12890592.790000001;3552352.5;10479.75;447611481.0;4695.010858586918;54359.61000000001;1509.75;1140.0;18264.670000000002;7729.5;28.830000000000002;15.0;17596.0;19249.0;1910.0;2311.0;272;89;1;41238;6028;55;Marseille
11220;Marseille;11;38418;47521;22219943.640000004;3924608.06;17613.0;674054948.0;5421.9471942930495;59271.560000000005;1605.87;1201.0;37537.47;19128.5;30.119999999999997;18.5;18588.0;18773.0;1934.0;2121.0;186;86;0;42153;5069;27;Marseille
11220;Marseille;11;38437;35786;9725907.2;3548450.0;5124.0;262799373.0;5116.293745319398;59478.95999999999;1565.67;1156.0;18397.71;8009.0;28.439999999999994;12.0;13677.0;15306.0;1666.0;1551.0;267;35;0;32755;2725;4;Marseille
11220;Marseille;11;38456;33605;44996723.95000001;3910018.2199999997;9615.0;504790800.0;5251.591611664932;58159.299999999996;1650.39;1151.5;25634.08;10127.5;27.45;10.5;12653.0;14085.0;1551.0;1474.0;146;64;47;30296;3040;12;Marseille
34172;Montpellier;34;2020;16384;372087.46;177025.0;1.0;19200000.0;5018.2;3239.05;71.89;55.0;910.48;323.0;1.3;0.0;5452.0;5932.0;756.0;671.0;25;21;3;12678;3657;0;Montpellier
34172;Montpellier;34;2021;19059;1048875.13;190000.0;1.0;37380000.0;4369.66;3357.49;66.69;55.0;696.91;278.0;1.16;0.0;5968.0;8150.0;723.0;681.0;42;38;0;15349;3630;0;Montpellier
34172;Montpellier;34;2022;19525;1091688.43;205000.0;1.0;38663200.0;5080.4;3562.16;74.64;57.0;751.99;302.0;1.19;0.0;6126.0;8119.0;750.0;624.0;37;17;4;15816;3643;8;Montpellier
34172;Montpellier;34;2023;15321;541705.81;197000.0;1.0;57300000.0;5119.360000000001;3658.2;76.24;54.0;1364.24;345.0;1.12;0.0;5057.0;6882.0;916.0;526.0;30;43;0;13646;1594;8;Montpellier
34172;Montpellier;34;2024;13257;1233271.5;195030.0;1.0;26509200.0;4843.49;3485.37;65.17;57.0;1613.2;544.0;1.14;0.0;4278.0;6029.0;489.0;470.0;8;61;0;11403;1779;6;Montpellier
71343;Paris;71;46460;54398;72645374.65;12382985.5;1437.45;1077040022.0;11974.123132835763;237440.79999999996;1860.26;1216.0;14800.74;10043.5;39.81999999999999;37.5;34719.0;12899.0;5563.0;222.0;133;511;0;52786;968;0;Paris
71343;Paris;71;46483;80610;47387912.699999996;13154491.5;1585.3;1138817908.0;11783.01650167473;238549.03999999998;1692.49;1238.0;19061.839999999997;11955.0;33.3;24.5;40249.0;33704.0;5307.0;282.0;170;607;0;78994;837;2;Paris
71343;Paris;71;46506;95930;52354877.50000001;13613818.5;1001.6500000000001;1342823342.0;11997.172072344416;238387.77000000002;1639.7300000000002;1210.0;20948.809999999998;10034.5;29.389999999999997;13.5;42847.0;45379.0;6076.0;244.0;159;672;0;94062;1006;31;Paris
71343;Paris;71;46529;80453;65587345.83;12315972.0;662.3;1020436713.0;11388.438510186072;229713.16;1639.32;1215.0;28217.54;22897.5;28.77;15.5;34955.0;39313.0;4911.0;224.0;220;627;1;79252;352;1;Paris
71343;Paris;71;46552;74271;78443084.11000001;12507076.23;2519.0;1090600384.0;10902.062690417524;216403.91000000003;1720.26;1238.5;31833.630000000005;21757.5;28.099999999999994;7.0;32901.0;35860.0;4628.0;156.0;147;656;0;73117;335;16;Paris
35238;Rennes;35;2020;9720;416545.44;207000.0;1.0;13846030.0;4717.53;3552.63;84.23;64.0;657.78;264.0;1.8;1.0;3393.0;2392.0;365.0;550.0;11;14;3;7218;2469;5;Rennes
35238;Rennes;35;2021;12876;380508.85;222915.8;1.0;65900000.0;4778.84;3778.69;100.04;64.0;772.67;286.5;1.37;0.0;3745.0;4916.0;414.0;599.0;2;16;0;10405;2430;23;Rennes
35238;Rennes;35;2022;12865;412070.56;230000.0;1.0;37400780.0;4946.76;4038.46;81.71;62.0;707.78;295.0;1.29;0.0;3841.0;5458.0;417.0;589.0;0;18;0;10769;2069;9;Rennes
35238;Rennes;35;2023;10596;404594.17;210000.0;1.0;6711600.0;4879.29;3960.63;74.9;60.0;609.86;191.0;1.21;0.0;3206.0;4725.0;368.0;428.0;7;20;0;9347;1218;4;Rennes
35238;Rennes;35;2024;9188;589458.44;208350.0;1.0;37140000.0;4461.67;3750.0;88.03;62.0;722.67;304.0;1.23;0.0;2788.0;4168.0;315.0;427.0;2;36;0;8038;1089;23;Rennes
31555;Toulouse;31;2020;28291;812693.54;200900.0;1.0;80400000.0;5064.36;3405.2;77.51;59.0;1430.82;322.0;1.4;1.0;9647.0;10124.0;887.0;1419.0;45;59;2;21286;6882;17;Toulouse
31555;Toulouse;31;2021;32394;1056593.12;210000.0;0.25;37266016.0;5057.41;3491.91;82.12;58.0;1014.6;476.0;1.3;0.0;10904.0;12824.0;984.0;1653.0;62;64;6;26363;5879;20;Toulouse
31555;Toulouse;31;2022;33547;760810.9;216000.0;1.0;69189856.0;5165.66;3600.0;82.32;60.0;1980.22;381.0;1.28;0.0;10274.0;13265.0;983.0;1573.0;47;78;95;26584;6699;44;Toulouse
31555;Toulouse;31;2023;24728;1109163.07;215000.0;1.0;54800000.0;5069.78;3574.47;76.77;58.0;1620.7;373.0;1.23;0.0;7821.0;10512.0;856.0;1209.0;43;74;5;20806;3763;37;Toulouse
31555;Toulouse;31;2024;22529;886212.85;212900.0;1.0;22921962.0;4893.62;3430.23;93.6;57.0;1337.87;356.0;1.23;0.0;7074.0;9101.0;708.0;1115.0;76;55;26;18446;3879;47;Toulouse
